date,region,min,max
2020-08-30,India_Lakshadweep,27.6,28.2
2020-08-31,India_Lakshadweep,27.3,28.4
2020-09-01,India_Lakshadweep,27.6,28.3
2020-09-02,India_Lakshadweep,27.6,28.3
2020-09-03,India_Lakshadweep,27,28.2
2020-09-04,India_Lakshadweep,27.9,28.6
2020-09-05,India_Lakshadweep,25.9,28.1
2020-09-06,India_Lakshadweep,27.3,28.5
2020-09-07,India_Lakshadweep,27.1,28.6
2020-09-08,India_Lakshadweep,27.3,28.6
2020-09-09,India_Lakshadweep,27.6,28.1
2020-09-10,India_Lakshadweep,26.9,28.4
2020-09-11,India_Lakshadweep,26.8,28.3
2020-09-12,India_Lakshadweep,25.6,27.3
2020-09-13,India_Lakshadweep,27.1,27.6
2020-08-29,India_Madhya Pradesh,22.9,28.1
2020-08-30,India_Madhya Pradesh,21.9,27.7
2020-08-31,India_Madhya Pradesh,21.3,29.1
2020-09-01,India_Madhya Pradesh,21.5,29
2020-09-02,India_Madhya Pradesh,22.7,30.4
2020-09-03,India_Madhya Pradesh,23.4,30.9
2020-09-04,India_Madhya Pradesh,23.8,31.2
2020-09-05,India_Madhya Pradesh,24.3,30.9
2020-09-06,India_Madhya Pradesh,23.6,31.6
2020-09-07,India_Madhya Pradesh,22.4,30.3
2020-09-08,India_Madhya Pradesh,21.9,28.6
2020-09-09,India_Madhya Pradesh,21.2,28.6
2020-09-10,India_Madhya Pradesh,22.9,29.9
2020-09-11,India_Madhya Pradesh,23.8,30.2
2020-09-12,India_Madhya Pradesh,24,31.8
2020-09-13,India_Madhya Pradesh,26.1,31.8
2020-08-29,India_Maharashtra,18.6,24.1
2020-08-30,India_Maharashtra,18.6,24.7
2020-08-31,India_Maharashtra,18.5,25.4
2020-09-01,India_Maharashtra,19,22
2020-09-02,India_Maharashtra,17.9,26.1
2020-09-03,India_Maharashtra,17.8,25.4
2020-09-04,India_Maharashtra,17.8,24.6
2020-09-05,India_Maharashtra,18.8,23.1
2020-09-06,India_Maharashtra,18.3,19.8
2020-09-07,India_Maharashtra,18.4,19.1
2020-09-08,India_Maharashtra,18,18.8
2020-09-09,India_Maharashtra,17.9,19.4
2020-09-10,India_Maharashtra,16.8,20.6
2020-09-11,India_Maharashtra,16.7,27
2020-09-12,India_Maharashtra,17.6,26.9
2020-09-13,India_Maharashtra,18,26.3
2020-08-29,India_Manipur,19.1,28.9
2020-08-30,India_Manipur,19.4,29.3
2020-08-31,India_Manipur,20.4,28.6
2020-09-01,India_Manipur,19.7,29.2
2020-09-02,India_Manipur,18.9,30.3
2020-09-03,India_Manipur,19.7,29.3
2020-09-04,India_Manipur,19.5,28.8
2020-09-05,India_Manipur,19.2,28.1
2020-09-06,India_Manipur,19.6,26.8
2020-09-07,India_Manipur,19.9,25.9
2020-09-08,India_Manipur,19.9,20.9
2020-09-09,India_Manipur,19.1,24.4
2020-09-10,India_Manipur,18.6,27.4
2020-09-11,India_Manipur,19.1,26.6
2020-09-12,India_Manipur,19.9,27.6
2020-09-13,India_Manipur,19.8,27.6
2020-08-29,India_Meghalaya,22.5,24.4
2020-08-30,India_Meghalaya,22.1,29.5
2020-08-31,India_Meghalaya,21.7,30.6
2020-09-01,India_Meghalaya,22,30.1
2020-09-02,India_Meghalaya,22.8,30.8
2020-09-03,India_Meghalaya,24.2,32.5
2020-09-04,India_Meghalaya,24.6,32
2020-09-05,India_Meghalaya,25.2,33.5
2020-09-06,India_Meghalaya,26,33.6
2020-09-07,India_Meghalaya,24.4,31.9
2020-09-08,India_Meghalaya,24.3,30.6
2020-09-09,India_Meghalaya,23.6,30.7
2020-09-10,India_Meghalaya,23.5,29.1
2020-09-11,India_Meghalaya,22.6,27.8
2020-09-12,India_Meghalaya,24.3,30
2020-09-13,India_Meghalaya,25.4,30.9
2020-08-29,India_Mizoram,20.3,31.4
2020-08-30,India_Mizoram,20.6,32.8
2020-08-31,India_Mizoram,21.8,32.4
2020-09-01,India_Mizoram,21.1,28.3
2020-09-02,India_Mizoram,20.8,31.6
2020-09-03,India_Mizoram,21.1,31.6
2020-09-04,India_Mizoram,21.3,32.9
2020-09-05,India_Mizoram,21,31.4
2020-09-06,India_Mizoram,20.6,31.1
2020-09-07,India_Mizoram,21.4,27.5
2020-09-08,India_Mizoram,20.7,25.3
2020-09-09,India_Mizoram,20.9,23.9
2020-09-10,India_Mizoram,19.8,28.4
2020-09-11,India_Mizoram,20.4,31.4
2020-09-12,India_Mizoram,20.9,32.6
2020-09-13,India_Mizoram,22.1,32.6
2020-08-29,India_Nagaland,19.6,28.1
2020-08-30,India_Nagaland,19.6,26.4
2020-08-31,India_Nagaland,20,27.6
2020-09-01,India_Nagaland,19.8,26.6
2020-09-02,India_Nagaland,19.6,28.4
2020-09-03,India_Nagaland,19.9,28.2
2020-09-04,India_Nagaland,19,27.5
2020-09-05,India_Nagaland,19.4,27.1
2020-09-06,India_Nagaland,19.4,25.5
2020-09-07,India_Nagaland,19.3,20.9
2020-09-08,India_Nagaland,19.2,20.6
2020-09-09,India_Nagaland,18.7,20.8
2020-09-10,India_Nagaland,18.5,25.4
2020-09-11,India_Nagaland,18.9,26.2
